Molecule_id,Canonical_SMILES,Source
CHEMBL4283442,C[P+](C)(C)CCSC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSCC[P+](C)(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSCC[P+](C)(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CSCC[P+](C)(C)C)C(N)=O.O=C(O)C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,S1
CHEMBL4283443,CCCCCCCCCCCC1=C(O)C(=O)C2=C(OC(N)=C(C#N)C2c2ccc(F)cc2)C1=O,S1
CHEMBL4283444,Cc1ccc2oc(-c3ccc(OCCOCCOCCn4cc(CCCOc5ccc(-c6cc(=O)c7ccc(F)cc7o6)cc5)nn4)cc3)cc(=O)c2c1,S1
CHEMBL4283518,CCOC(=O)C1=C(N/C=N/c2ccccn2)Nc2[nH]nc(C)c2C1c1ccc(N(C)C)cc1,S1
CHEMBL4283519,COc1ccc(NC(=O)COc2ccc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2)cc1OC,S1
CHEMBL4283520,O=C(O)/C=C/c1ccc2occ(C(=O)Nc3ccc(Cl)cc3)c(=O)c2c1,S1
CHEMBL4283521,C/C(=C\CC/C(C)=C/CO[C@@H](C(=O)O)[C@H](CC(=O)O)C(=O)O)CC/C=C(\C)CC/C=C(\C)C(=O)O,S1
CHEMBL4283522,C=CC(=O)N[C@H]1CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]1NC(C)=O,S1
CHEMBL4283608,C[C@H](CC(=O)O)CC(=O)c1c(CCCCCCc2ccccc2)n(C)c2ccc(Cl)cc12,S1
CHEMBL4283609,O=c1cc(-c2ccccc2)oc2cc(OCCN(Cc3ccccc3)Cc3cn(CCOCCOCCOc4ccc(-c5oc6ccccc6c(=O)c5OCc5ccccc5)cc4)nn3)ccc12,S1
